Id	City	State Id	Population	Area	Density	Latitude	Longitude
0	unknown	0	0	0	0	0	0
1	New York	79	8491079	783.8	10430	40.6643	-73.9385
4	Los Angeles	1	3928864	1213.9	3124	34.0194	-118.4108
5	Chicago	401	2722389	589.6	4572	41.8376	-87.6818
6	Housto	368	2239558	1552.9	1352	29.7805	-95.3863
7	Philadelphi	408	1560297	347.3	4394	40.0094	-75.1333
8	Phoenix	253	1537058	1338.3	1080	33.5722	-112.088
9	San Antonio	368	1436697	1193.8	1112	29.4724	-98.5251
10	San Diego	1	1381069	842.2	1552	32.8153	-117.135
11	Dallas	368	1281047	881.9	1358	32.7757	-96.7967
12	San Jose	1	1015785	457.3	2069	37.2969	-121.8193
13	Austin	368	912791	835.2	1024	30.3072	-97.7561
14	Jacksonville	396	853382	1934.7	433	30.3371	-81.6613
16	San Francisco	1	852469	121.4	6633	37.7751	-122.4193
17	Indianapolis	27	848788	936.1	876	39.7767	-86.1459
18	Columbus	333	835957	562.5	1399	39.9848	-82.9851
19	Fort Worth	368	812238	880.1	842	32.7795	-97.3463
20	Charlotte	403	809958	771	949	35.2087	-80.8307
21	Detroit	183	680250	359.4	1986	42.3831	-83.1022
22	El Paso	368	679036	661.1	982	31.8484	-106.427
23	Seattle	399	668342	217.4	2800	47.6205	-122.3509
24	Denver	201	663862	396.3	1515	39.7618	-104.8806
25	Washington	399	658893	158.1	3806	38.9041	-77.0171
26	Memphis	2	656861	816	793	35.1035	-89.9785
28	Boston	124	655884	125	4939	42.3321	-71.0202
29	Nashville	2	644014	1230.8	489	36.1718	-86.7851
30	Baltimore	106	622793	209.6	2962	39.3002	-76.6105
31	Oklahoma City	308	620602	1570.6	369	35.4671	-97.5137
32	Portland	40	619360	345.6	1689	45.5371	-122.6511
33	Las Vegas	400	613599	351.8	1660	36.2277	-115.2641
34	Louisville	298	612780	842.4	709	38.1781	-85.6667
35	Milwaukee	407	599642	249	2389	43.0633	-87.9667
36	Albuquerque	3	557169	486.2	1123	35.1056	-106.6474
37	Tucson	253	527972	587.2	886	32.1543	-110.8711
38	Fresno	1	515986	293.2	1706	36.7827	-119.7945
39	Sacramento	1	485199	253.6	1839	38.5666	-121.4686
41	Long Beach	1	473577	130.3	3549	33.8091	-118.1553
42	Kansas City	409	470800	815.7	564	39.1252	-94.5511
43	Mesa	253	464704	353.4	1242	33.4019	-111.7174
44	Atlanta	15	456002	344.9	1218	33.7629	-84.4227
45	Virginia Beach	134	450980	644.9	679	36.7793	-76.024
46	Omaha	374	446599	329.2	1242	41.2647	-96.0419
47	Colorado Springs	201	445830	503.9	826	38.8673	-104.7607
48	Raleigh	403	439896	370.1	1091	35.8302	-78.6414
49	Miami	396	430332	92.9	4455	25.7752	-80.2086
50	Oakland	1	413775	144.8	2704	37.7699	-122.2256
51	Minneapolis	395	407207	139.8	2737	44.9633	-93.2683
52	Tulsa	308	399682	509.6	769	36.1279	-95.9023
53	Cleveland	333	389521	201.2	1972	41.4781	-81.6795
54	Wichita	359	388413	412.6	927	37.6907	-97.3427
56	New Orleans	405	384320	438.8	784	30.0686	-89.939
57	Arlington	368	383204	248.3	1472	32.7007	-97.1247
58	Bakersfield	1	368759	368.2	944	35.3212	-119.0183
59	Tampa	396	358699	293.7	1182	27.9701	-82.4797
60	Aurora	201	353108	369.1	881	39.7082	-104.8235
61	Honolulu	80	350399	156.7	2152	21.3259	-157.8453
62	Anaheim	1	346997	129.1	2605	33.8555	-117.7601
63	Santa Ana	1	334909	70.6	4595	33.7365	-117.8826
64	Corpus Christi	368	320434	416	734	27.7543	-97.1734
66	Riverside	1	319504	210.2	1446	33.9381	-117.3932
67	St. Louis	409	317419	160.3	1991	38.6357	-90.2446
68	Lexington	298	310797	734.6	403	38.0402	-84.4584
